# LK8000 CHINESE MESSAGES - CHN_MSG.TXT
# MASTER UPDATED:  191010 mountainhare山岭野兔(wx9019258QQ)_翻译
#
# 该文件在启动时加载，所有消息都存储在内部。
# 如果要翻译这些消息，请尝试遵守尺寸。
# 首先_ @ Mn_是索引，您不能更改它们！
#
# 请注意，ENG_MSG.TXT是LK8000的英语主要语言
# 它应该永远存在。 请勿更改ENG_MSG.TXT！
#
# 注意>令牌的最大数量在LKLanguage中定义为MAX_MESSAGES
#
# 如果您以开发人员的身份添加消息，请不要回收号码，因为翻译会假设
# 不存在的令牌应替换为英文。
# 但是，如果翻译了旧令牌，它仍然会像那样出现，这是错误的！
#
# 所有空行或以＃开头的行都将被忽略。
# 开发人员必须在GITHUB上要求添加新消息的编号槽

_@M1_ " 相对值"
_@M2_ " 距离"
_@M3_ " 地速"
_@M4_ " 注册"
_@M5_ " 高度"
_@M6_ "< 向前"
_@M7_ "(blank)"
_@M8_ "(finish)"
_@M9_ "(invalid)"
_@M10_ "1 主文件配置"
_@M11_ "10 界面"
_@M12_ "11 外形"
_@M13_ "12 字体"
_@M14_ "13 地图叠加层"
_@M15_ "14 任务"
_@M16_ "至少必须打开一个（不计TRM0）。 打开NAV1。"
_@M17_ "15 秒"
_@M18_ "16 巡航信息框"
_@M19_ "17 热气流信息框"
_@M20_ "18 最佳滑翔信息框"
_@M21_ "19 辅助信息框"
_@M22_ "2 空域"
_@M23_ "2 分钟"
_@M24_ "20 航迹记录器"
_@M25_ "21 航路点编辑"
_@M26_ "22 系统"
_@M27_ "23 滑翔伞/悬挂翼特有"
_@M28_ "3 地图显示"
_@M29_ "3 分钟"
_@M30_ "30 秒"
_@M31_ "3D 修正"
_@M32_ "4 地形显示"
_@M33_ "5 滑翔电脑"
_@M34_ "6 安全系数"
_@M35_ "60 秒"
_@M36_ "7 飞机"
_@M37_ "8 设备"
_@M38_ "9 单位"
_@M39_ "90 秒"
_@M40_ "一个任务正在进行!"
_@M41_ "AAT最短时间"
_@M42_ "AAT 开始"
_@M43_ "AAT"
_@M44_ "确认日期"
_@M45_ "确认空间"
_@M46_ "确认警告"
_@M47_ "中止"
_@M48_ "接受"
_@M49_ "获得MacCready"
_@M50_ "获得速度"
_@M51_ "确认日期?"
_@M52_ "确认时间 "
_@M53_ "活动地图 "
_@M54_ "增加航点"
_@M55_ "高级.."
_@M56_ "飞机Id: "
_@M57_ "飞机注册"
_@M58_ "飞机状态"
_@M59_ "飞机类型"
_@M60_ "飞机类型: "
_@M61_ "飞机/翼速度 "
_@M62_ "机场"
_@M63_ "空域 1 "
_@M64_ "空域 2 "
_@M65_ "空域描述"
_@M66_ "空域警告"
_@M67_ "空域显示 "
_@M68_ "空域"
_@M69_ "空域: 全区限高"
_@M70_ "空域: 完全关闭"
_@M71_ "空域: 完全开放"
_@M72_ "空域: 自动"
_@M73_ "空域: 剪切"
_@M74_ "空域: 内"
_@M75_ "完全关闭"
_@M76_ "完全开放"
_@M77_ "全区限高"
_@M78_ "全黑"
_@M79_ "全开"
_@M80_ "所有航线"
_@M81_ "全白"
_@M82_ "已经到家"
_@M83_ "到Mc 0高度差"
_@M84_ "当前到Mc高度差"
_@M85_ "Mc安全高度差"
_@M86_ "备用起点"
_@M87_ "备用"
_@M88_ "高度 "
_@M89_ "高度"
_@M90_ "总是使用MC=0"
_@M91_ "总是使用MC安全高度"
_@M92_ "琥珀色"
_@M93_ "分析"
# 94 REMOVED after v2.3
_@M94_ "Animation"
_@M95_ "附加到任务"
_@M96_ "准备开始"
_@M97_ "准备"
_@M98_ "到达高度"
# 99 REMOVED after v2.3
_@M99_ "Arrow head"
_@M100_ "询问"
_@M101_ "分配的任务时间"
_@M102_ "自动提前: 布防"
_@M103_ "自动提前: 自动"
_@M104_ "自动提前: 撤防"
_@M105_ "自动提前: 手动"
_@M106_ "自动背光 "
_@M107_ "自动最佳滑翔 "
_@M108_ "自动强制最佳滑翔 "
_@M109_ "自动Mc模式 "
_@M110_ "自动音量 "
_@M111_ "自动提前 "
_@M112_ "自动提前"
_@M113_ "自动记录器 "
_@M114_ "自动风况计算 "
_@M115_ "自动缩放 "
_@M116_ "平均爬升"
_@M117_ "平均爬升率"
_@M118_ "平均爬升"
_@M119_ "备用电源开启"
_@M120_ "气压海拔可用"
_@M121_ "气压海拔不可用"
_@M122_ "气压海拔不可用, 使用GPS高度"
_@M123_ "电池充满"
_@M124_ "电池正在充电"
_@M125_ "配重 "
_@M126_ "配重转储时间 "
_@M127_ "气压计"
_@M128_ "基础"
_@M129_ "基本设置"
_@M130_ "基本设置菜单"
_@M131_ "基本"
_@M132_ "电池.1 电压"
_@M133_ "电池.2 电压"
_@M134_ "电池组"
_@M135_ "波特率 "
_@M136_ "方位  "
_@M137_ "方位 "
_@M138_ "方位"
_@M139_ "下方"
_@M140_ "最佳高度滑翔比"
_@M141_ "最佳备降警告 "
_@M142_ "大城市 "
_@M143_ "国道 "
_@M144_ "黑色"
_@M145_ "空白!"
# 146 REMOVED after v2.3
_@M146_ "Block speed to fly "
_@M147_ "蓝湖"
_@M148_ "双模(Fin+Ave)"
_@M149_ "双模"
_@M150_ "底部状态栏 "
_@M151_ "框"
_@M152_ "框内, 不显示单位"
_@M153_ "框内, 显示单位"
_@M154_ "到达目标方位角"
_@M155_ "检查安全到达高度\n"
_@M156_ "关"
_@M157_ "关闭"
_@M158_ "确认转到, 中止任务?"
_@M159_ "确认转到, 中止任务?"
_@M160_ "计算"
_@M161_ "取消"
_@M162_ "不能覆盖!"
#M163 unused, changed to CarTrek
_@M163_ "Car"
_@M164_ "类别 "
_@M165_ "热气流上限"
_@M166_ "中心 "
_@M167_ "中心"
_@M168_ "更改配置已保存。"
_@M169_ "所选航点不在当前任务中。"
_@M170_ "盘旋缩放值 "
_@M171_ "圆半径"
_@M172_ "盘旋缩放关"
_@M173_ "盘旋缩放开"
_@M174_ "盘旋缩放 "
_@M175_ "盘旋"
# 176 UNUSED after v2.3
_@M176_ "Classic"
_@M177_ "清除备降点"
_@M178_ "清除任务"
_@M179_ "清除任务?"
_@M180_ "清除"
_@M181_ "爬升趋势"
_@M182_ "爬升"
_@M183_ "剪切高度 "
_@M184_ "剪切"
_@M185_ "关闭"
_@M186_ "关闭"
_@M187_ "云底"
_@M188_ "代码"
_@M189_ "颜色"
_@M190_ "注解"
_@M191_ "注解: "
_@M192_ "公共地块"
_@M193_ "与Volkslogger通讯"
_@M194_ "竞赛GPS航点"
_@M195_ "配置"
_@M196_ "配置自定义键"
_@M197_ "配置拓扑"
_@M198_ "确认退出?"
_@M199_ "已连接"
_@M200_ "拷贝"
_@M201_ "无法打开IGC文件!"
_@M202_ "巡航缩放 "
_@M203_ "巡航效率"
_@M204_ "当前位置已更新"
_@M205_ "自定义键"
_@M206_ "自定义极地文件 "
_@M207_ "自定义键配置已保存"
_@M208_ "自定义字体 "
_@M209_ "青色"
_@M210_ "圆柱"
_@M211_ "DAT转折点"
_@M212_ "配重转储"
_@M213_ "危险区域"
_@M214_ "多危险区域"
_@M215_ "深灰色"
_@M216_ "乳白色"
_@M217_ "深灰色"
_@M218_ "深蓝"
_@M219_ "日期"
_@M220_ "去抖时间 "
_@M221_ "宣布任务?"
_@M222_ "宣布"
_@M223_ "已宣布"
_@M224_ "整理降落线路 "
_@M225_ "整理航线点 "
_@M226_ "默认地图缩放"
_@M227_ "默认"
_@M228_ "删除"
_@M229_ "删除航点?"
_@M230_ "删除"
_@M231_ "细节"
_@M232_ "设备A"
_@M233_ "设备B"
_@M234_ "设备型号 "
_@M235_ "对话框"
_@M236_ "直接转到"
_@M237_ "方向 "
_@M238_ "方向"
_@M239_ "已禁止"
_@M240_ "已断开连接"
_@M241_ "显示"
_@M242_ "过去的距离"
_@M243_ "距离  "
_@M244_ "距离 "
_@M245_ "距离"
_@M246_ "转储时间 "
_@M247_ "估计在途时间"
_@M248_ "退出"
_@M249_ "编辑字体"
_@M250_ "编辑起点"
_@M251_ "编辑文字"
_@M252_ "编辑"
_@M253_ "效率 "
_@M254_ "效率要求"
_@M255_ "海拔"
_@M256_ "翡翠绿"
_@M257_ "无地图颜色 "
_@M258_ "启用"
_@M259_ "已启用"
_@M260_ "工程菜单*"
_@M261_ "输入数字"
_@M262_ "等效MC"
_@M263_ "保存任务时出错!"
_@M264_ "任务文件中有错误!"
_@M265_ "错误！ 任务未声明！"
_@M266_ "错误"
_@M267_ "估计任务时间"
_@M268_ "事件 "
_@M269_ "排除"
_@M270_ "期望任务早些到达"
_@M271_ "专家"
_@M272_ "扩展可视滑行"
_@M273_ "已扩展"
_@M274_ "FAI扇区"
_@M275_ "FAI完成高度 "
_@M276_ "FAI完成高度"
_@M277_ "在端口上使用GPS进行后备"
_@M278_ "假"
_@M279_ "检测到FLARM"
# M280 unused after 6.0
_@M280_ "FLARM on map "
_@M281_ "飞行"
_@M282_ "领域"
_@M283_ "文件浏览器"
_@M284_ "文件类型"
_@M285_ "文件"
_@M286_ "过滤器"
_@M287_ "过滤..."
_@M288_ "最佳滑翔模式自动"
_@M289_ "最佳滑翔模式强制开启"
_@M290_ "最佳滑翔模式"
_@M291_ "结束最低海拔"
_@M292_ "结束最低高度 "
_@M293_ "结束最低高度"
_@M294_ "辐射状结束"
_@M295_ "结束半径 "
_@M296_ "结束半径"
_@M297_ "结束类型 "
_@M298_ "结束类型"
_@M299_ "结束"
_@M300_ "已结束"
_@M301_ "前3字母"
_@M302_ "前5字母"
_@M303_ "修复无效"
_@M304_ "修复"
_@M305_ "飞行回放"
_@M306_ "飞行时间"
_@M307_ "自由"
_@M308_ "频率"
_@M309_ "朋友代码 "
# 310 REMOVED after v2.3
_@M310_ "Full arrow"
_@M311_ "全覆盖"
_@M312_ "完全"
_@M313_ "飞机门"
_@M314_ "门打开"
_@M315_ "门"
_@M316_ "所有门关闭"
_@M317_ "对COM报告保持沉默"
_@M318_ "GPS高度偏移 "
_@M319_ "GPS锁定"
_@M320_ "门间隔 "
_@M321_ "规格"
_@M322_ "大地水准面 "
_@M323_ "幽灵 "
_@M324_ "滑杆指示器 "
_@M325_ "滑翔南北极性"
_@M326_ "滑翔地形线 "
_@M327_ "滑翔机位置 "
_@M328_ "滑翔机"
_@M329_ "回家"
_@M330_ "到"
_@M331_ "绿色"
_@M332_ "灰色"
_@M333_ "半覆盖"
_@M334_ "阻碍 "
_@M335_ "高度"
_@M336_ "帮助"
_@M337_ "隐藏单位 "
_@M338_ "高阿尔卑斯山"
_@M339_ "高"
_@M340_ "高对比度"
# 341 REMOVED after v2.3
_@M341_ "HighScore Style"
# 342 UNUSED after v2.3
_@M342_ "Higher"
_@M343_ "进入(退出)"
_@M344_ "航向不正确或风太强"
_@M345_ "无效的空速"
_@M346_ "IPhone手势 "
_@M347_ "开了"
_@M348_ "图标 "
_@M349_ "忽视"
_@M350_ "包含"
_@M351_ "信息框标题"
# 352 REMOVED after v2.3
_@M352_ "Info box values small"
_@M353_ "信息框值"
_@M354_ "信息框粘贴"
# 355 REMOVED after v2.3
_@M355_ "Infobox Geometry"
_@M356_ "信息"
_@M357_ "插入航点"
_@M358_ "插入任务"
_@M359_ "内部"
_@M360_ "无效的老任务格式！"
_@M361_ "黑白反色 "
_@M362_ "反转颜色 "
_@M363_ "反转颜色"
_@M364_ "已反转"
_@M365_ "斜体"
_@M366_ "请保持空速长时间稳定不变"
_@M367_ "请长时间保持航向"
_@M368_ "请长时间保持速度和前进方向"
_@M369_ "请长时间保持速度"
# 370 REMOVED after v2.3
_@M370_ "Keyboard"
_@M371_ "黑白区间平均 "
_@M372_ "最后的门是开放的"
_@M373_ "LCD深绿色"
_@M374_ "LCD绿色"
_@M375_ "系统配置文件"
_@M376_ "LK8000交通"
_@M377_ "LKoogle低地"
_@M378_ "LKoogle山脉"
_@M379_ "标签 "
_@M380_ "着陆点和转折点"
_@M381_ "陆地资源图标 "
_@M382_ "仅限陆地资源"
_@M383_ "陆地风格 "
_@M384_ "陆地资源值 "
_@M385_ "陆地资源"
_@M386_ "着陆时间"
_@M387_ "语言 "
_@M388_ "左 "
# 389 UNUSED after v2.3
_@M389_ "Less"
_@M390_ "电梯 "
_@M391_ "浅绿色"
_@M392_ "浅灰色"
_@M393_ "线"
_@M394_ "活的 "
_@M395_ "仍然加载？"
_@M396_ "加载任务"
_@M397_ "加载这个配置文件？"
_@M398_ "加载"
_@M399_ "加载空域文件..."
_@M400_ "正在加载航点注释文件..."
_@M401_ "本地时间 "
_@M402_ "本地时间"
_@M403_ "已锁定"
_@M404_ "记录仪错误"
_@M405_ "记录器ID"
_@M406_ "记录器ID: "
_@M407_ "记录器回放"
_@M408_ "记录器不活动，存储空间不足！"
_@M409_ "记录器"
_@M410_ "长"
_@M411_ "抬头"
_@M412_ "低阿尔卑斯山"
_@M413_ "低地"
_@M414_ "低"
# 415 UNUSED after v2.3
_@M415_ "Lower"
_@M416_ "MacCready值 "
_@M417_ "品红"
_@M418_ "手动"
# 419 no more used after 2.3
_@M419_ "Map Locking "
_@M420_ "地图文件 "
_@M421_ "地图标签关"
_@M422_ "地图标签开"
_@M423_ "地图标签置顶"
_@M424_ "地图航点"
_@M425_ "余量 "
_@M426_ "标记位置"
_@M427_ "标记中心"
_@M428_ "最高温度 "
_@M429_ "最大获得高度"
