# LK8000 CZECH MESSAGES - CZE_MSG.TXT
# MASTER UPDATED:  140126
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT.
#
# ATTENTION> Max number of tokens is defined in LKLanguage as MAX_MESSAGES
#
# If you add messages, as a developer, do not recycle numbers, because translations assume
# that a nonexisting token should be replaced by the english original.
# But if a old token was translated, it will still appear like that, wrong!
##
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT ON GITHUB

_@M1_ " Diff"
_@M2_ " Dist"
_@M3_ " GS"
_@M4_ " Reg"
_@M5_ " Var"
_@M6_ "< Předch"
_@M7_ "(blank)"
_@M8_ "(finish)"
_@M9_ "(invalid)"
_@M10_ "1 Strana"
_@M11_ "10 Zobrazení"
_@M12_ "11 Vzhled"
_@M13_ "12 Fonty"
_@M14_ "13 Vrstvy mapy "
_@M15_ "14 Úloha"
_@M16_ "Alespoň jedna (TRM0 se nepočítá) musí být zapnutá. Zapínám NAV1."
_@M17_ "15 sekund"
_@M18_ "16 InfoBox Let"
_@M19_ "17 InfoBox Stoupák"
_@M20_ "18 InfoBox Dokluz"
_@M21_ "19 InfoBox Záložní"
_@M22_ "2 Prostor"
_@M23_ "2 minuty"
_@M24_ "20 Záznamník"
_@M25_ "21 Úprava Waypointu"
_@M26_ "22 Systém"
_@M27_ "23 Speciality Paraglide/Rogala"
_@M28_ "3 Zobrazení mapy"
_@M29_ "3 minuty"
_@M30_ "30 sekund"
_@M31_ "3D fix"
_@M32_ "4 Zobrazení Terénu"
_@M33_ "5 Plachtařské výpočty"
_@M34_ "6 Bezpečnostní prvky"
_@M35_ "60 sekund"
_@M36_ "7 Letadlo"
_@M37_ "8 Zařízení "
_@M38_ "9 Jednotky"
_@M39_ "90 sekund"
_@M40_ "Úloha je spuštěna!"
_@M41_ "AAT min čas"
_@M42_ "AAT "zbývá"
_@M43_ "AAT"
_@M44_ "Potvrď den"
_@M45_ "Potvrď prostor"
_@M46_ "Potvrď varování"
_@M47_ "Zrušit"
_@M48_ "O.K."
_@M49_ "Dosažený MacCready"
_@M50_ "Dosažená Rychlost"
_@M51_ "Potvrdit na celý den?"
_@M52_ "Doba potvrzení*"
_@M53_ "Aktivní Mapa "
_@M54_ "Přidat Waypoint"
_@M55_ "Pokročilé.."
_@M56_ "Id letadla: "
_@M57_ "Reg letadla"
_@M58_ "Statut letadla"
_@M59_ "Typ letadla"
_@M60_ "Typ letadla: "
_@M61_ "Rychlost Letadla/větru "
_@M62_ "Letiště"
_@M63_ "Prostor 1 "
_@M64_ "Prostor 2 "
_@M65_ "Prostor Detaily"
_@M66_ "Prostor Varování"
_@M67_ "Prostor Zobrazení "
_@M68_ "Prostor"
_@M69_ "Prostory: VŠE POD"
_@M70_ "Prostory: VŠE VYP"
_@M71_ "Prostory: VŠE ZAP"
_@M72_ "Prostory: AUTO"
_@M73_ "Prostory: OŘÍZNUTY"
_@M74_ "Prostory: UVNITŘ"
_@M75_ "Vše VYP"
_@M76_ "Vše ZAP"
_@M77_ "Vše pod"
_@M78_ "Vše černé"
_@M79_ "Vše zap"
_@M80_ "Všechny otočáky"
_@M81_ "Vše bílé"
_@M82_ "Již letíte domů"
_@M83_ "Výš. rozdíl pro MC 0"
_@M84_ "Výš. rozdíl pro současný MC"
_@M85_ "Výš. rozdíl pro bezpečný MC"
_@M86_ "Alternativní místa startu"
_@M87_ "Alternativní"
_@M88_ "Výška "
_@M89_ "Výška"
_@M90_ "Vždy používat MC=0"
_@M91_ "Vždy používat bezpečný MC"
_@M92_ "Jantarová"
_@M93_ "Analýza"
# 94 REMOVED after v2.3
_@M94_ "Animace "
_@M95_ "Připojit k úloze"
_@M96_ "Odjistit start"
_@M97_ "Odjistit"
_@M98_ "Výška příletu"
# 99 REMOVED after v2.3
_@M99_ "Šipka"
_@M100_ "Zeptat se"
_@M101_ "Přidělený čas úlohy"
_@M102_ "Auto Pokračování: ODJIŠTĚNO"
_@M103_ "Auto Pokračování: Automaticky"
_@M104_ "Auto Pokračování: ZAJIŠTĚNO"
_@M105_ "Auto Pokračování: Ruční"
_@M106_ "Auto Podsvícení "
_@M107_ "Auto Dokluz "
_@M108_ "Automatické vynucení dokluzu "
_@M109_ "Auto MC režim "
_@M110_ "Auto Hlasitost "
_@M111_ "Pokračování "
_@M112_ "Auto pokračování"
_@M113_ "Auto záznam "
_@M114_ "Auto vítr "
_@M115_ "Auto přiblížení "
_@M116_ "Prům stoupání"
_@M117_ "Průměrná rychlost stoupání"
_@M118_ "Průměrné stoupání"
_@M119_ "ZÁLOŽNÍ BATERIE ZAPNUTA"
_@M120_ "BARO VÝŠKA JE DOSTUPNÁ"
_@M121_ "BARO VÝŠKA NENÍ DOSTUPNÁ"
_@M122_ "BARO VÝŠKA NENÍ DOSTUPNÁ, POUŽITA GPS VÝŠKA"
_@M123_ "BATERIE 100% NABITA"
_@M124_ "BATERIE SE NABÍJÍ"
_@M125_ "Zátěž "
_@M126_ "Doba vypuštění vody "
_@M127_ "Barograf"
_@M128_ "Základna"
_@M129_ "Základní nastavení"
_@M130_ "Menu Základního nastavení"
_@M131_ "Základní"
_@M132_ "Bat.1 Volt"
_@M133_ "Bat.2 Volt"
_@M134_ "Soubor baterií"
_@M135_ "Baudrate "
_@M136_ "Směr letu  "
_@M137_ "Směr letu "
_@M138_ "Směr letu"
_@M139_ "Pod"
_@M140_ "Nejlepší LD"
_@M141_ "Info Nej.Alternativa "
_@M142_ "Velká města "
_@M143_ "Veliké silnice "
_@M144_ "Černá"
_@M145_ "Prázdné!"
# 146 REMOVED after v2.3
_@M146_ "Doporučená rychl. letu "
_@M147_ "Modré jezero"
_@M148_ "Obojí (Fin+Prům)"
_@M149_ "Obojí"
_@M150_ "Spodní lišta "
_@M151_ "Box"
_@M152_ "V boxech, bez jednotek"
_@M153_ "V boxech, s jednotkami"
_@M154_ "Směr"
_@M155_ "ZKONTROLUJ bezpečnou výšku příletu\n"
_@M156_ "ZAVŘÍT"
_@M157_ "ZAVŘENO"
_@M158_ "POTVRĎ JÍT NA, ZRUŠENÍ ÚLOHY?"
_@M159_ "POTVRĎ jít na, ZRUŠENÍ úlohy?"
_@M160_ "Kalkulačka"
_@M161_ "Zrušit"
_@M162_ "Nelze přepsat!"
#M163 unused, changed to CarTrek
_@M163_ "Auto"
_@M164_ "Kategorie "
_@M165_ "Tendence stropu"
_@M166_ "Střed "
_@M167_ "Střed"
_@M168_ "Změny v nastavení uloženy."
_@M169_ "Zvolený Waypoint není v současné úloze."
_@M170_ "Přiblížení ve stoup. "
