# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  110102
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

_@M1_ " Dife"
_@M2_ " Dist"
_@M3_ " Vel"
_@M4_ " Reg"
_@M5_ " Var"
_@M6_ "< Previo"
_@M7_ "(Vacío)"
_@M8_ "(Final)"
_@M9_ "(Inválido)"
_@M10_ "1 Área de Vuelo"
_@M11_ "10 Interfase"
_@M12_ "11 Apariencia"
_@M13_ "12 Fuentes"
_@M14_ "13 Capas de Mapas "
_@M15_ "14 Manga"
_@M16_ "15 Reglas de la Manga"
_@M17_ "15 segundos"
_@M18_ "16 InfoBox Transición"
_@M19_ "17 InfoBox Termal"
_@M20_ "18 InfoBox Planeo final"
_@M21_ "19 InfoBox Auxiliar"
_@M22_ "2 Espacio Aéreo"
_@M23_ "2 minutos"
_@M24_ "20 Grabadora"
_@M25_ "21 Editar Waypoints"
_@M26_ "22 Sistema"
_@M27_ "23 Específicos de Parapente/Delta"
_@M28_ "3 Despliegue de Mapa"
_@M29_ "3 minutos"
_@M30_ "30 segundos"
_@M31_ "Arreglo 3D"
_@M32_ "4 Despliegue de Terreno"
_@M33_ "5 Computadora de Planeo"
_@M34_ "6 Factores de Seguridad"
_@M35_ "60 segundos"
_@M36_ "7 Aeronave"
_@M37_ "8 Dispositivos"
_@M38_ "9 Unidades"
_@M39_ "90 segundos"
_@M40_ "Una Manga está en proceso!"
_@M41_ "AAT Tiempo Mínimo"
_@M42_ "AAT Para Salir"
_@M43_ "AAT"
_@M44_ "ACK Día"
_@M45_ "ACK Espacio"
_@M46_ "ACK Advertencia"
_@M47_ "Abortar"
_@M48_ "Aceptar"
_@M49_ "MacCready Logrado"
_@M50_ "Velocidad Lograda"
_@M51_ "Reconocimiento del día?"
_@M52_ "Reconocimiento de tiempo*"
_@M53_ "Mapa Activo "
_@M54_ "Agregar Waypoint"
_@M55_ "Avanzado..."
_@M56_ "Registro de la Aeronave: "
_@M57_ "Registro de la Aeronave"
_@M58_ "Estatus de la Aeronave"
_@M59_ "Tipo de Aeronave"
_@M60_ "Tipo de Aeronave: "
_@M61_ "Velocidad del Viento/Aeronave "
_@M62_ "Aeródromo"
_@M63_ "Espacio Aéreo 1 "
_@M64_ "Espacio Aéreo 2 "
_@M65_ "Detalles del Espacio Aéreo"
_@M66_ "Advertencias del Espacio Aéreo"
_@M67_ "Despliegue del Espacio Aéreo "
_@M68_ "Espacio Aéreo"
_@M69_ "Espacio Aéreo: TODO DEBAJO"
_@M70_ "Espacio Aéreo: TODO OFF"
_@M71_ "Espacio Aéreo: TODO ON"
_@M72_ "Espacio Aéreo: AUTOMATICO"
_@M73_ "Espacio Aéreo: ENTRECORTADO"
_@M74_ "Espacio Aéreo: DENTRO"
_@M75_ "Todos OFF"
_@M76_ "Todos ON"
_@M77_ "Todos debajo"
_@M78_ "Todos negro"
_@M79_ "Todos sobre"
_@M80_ "Todos Waypoints"
_@M81_ "Todos blanco"
_@M82_ "Rumbo a Base"
_@M83_ "Alt dife Mc 0"
_@M84_ "Alt dife Mc Actual"
_@M85_ "Alt dife Mc Seguridad"
_@M86_ "Arranques Alternativos"
_@M87_ "Alterno"
_@M88_ "Altitud "
_@M89_ "Altitud"
_@M90_ "siempre usar MC=0"
_@M91_ "Siempre usar MC de Seguridad"
_@M92_ "Ámbar"
_@M93_ "Análisis"
_@M94_ "Animación"
_@M95_ "Anexar a la Manga"
_@M96_ "Armar Inicio"
_@M97_ "Armar"
_@M98_ "Alt de Llegada"
_@M99_ "Punta de Flecha"
_@M100_ "Preguntar"
_@M101_ "Tiempo Asignado de Manga"
_@M102_ "Avanzar Auto: ARMADO"
_@M103_ "Avanzar Auto: Automático"
_@M104_ "Avanzar Auto: DESARMADO"
_@M105_ "Avanzar Auto: Manual"
_@M106_ "Luz de Pantalla "
_@M107_ "Planeo Final Automático "
_@M108_ "Forzar Planeo Final "
_@M109_ "Modo Mc Auto "
_@M110_ "Volumen Auto "
_@M111_ "Avanzar Auto "
_@M112_ "Avanzar Auto "
_@M113_ "Grabadora Auto "
_@M114_ "Viento Auto "
_@M115_ "Auto Zoom "
_@M116_ "Ascendencia Promedio"
_@M117_ "Rango de Ascendencia Promedio"
_@M118_ "Ascendencia Promedio"
_@M119_ "FUENTE DE ENERGIA EXTERNA ENCENDIDA"
_@M120_ "ALTURA BAROMETRICA DISPONIBLE"
_@M121_ "ALTURA BAROMETRICA NO DISPONIBLE"
_@M122_ "ALTURA BAROMETRICA NO DISPONIBLE, CAMBIO A ALTURA GPS"
_@M123_ "BATERÍA 100% CARGADA"
_@M124_ "RECARGANDO BATERÍA"
_@M125_ "Lastre "
_@M126_ "tiempo de drenado del lastre "
_@M127_ "Barógrafo"
_@M128_ "Base"
_@M129_ "Configuración Básica"
_@M130_ "Menú de Configuración Básica"
_@M131_ "Básico"
_@M132_ "Voltaje Batt.1"
_@M133_ "Voltaje Batt.2"
_@M134_ "Banco de Baterías"
_@M135_ "Baudios "
_@M136_ "Dirección  "
_@M137_ "Dirección "
_@M138_ "Dirección"
_@M139_ "Debajo"
_@M140_ "Mejor Planeo"
_@M141_ "Advertencia de Mejor Alterno "
_@M142_ "Ciudades Grandes "
_@M143_ "Caminos Importantes "
_@M144_ "Negro"
_@M145_ "En Blanco!"
_@M146_ "Bloquear Mejor Velocidad "
_@M147_ "Lago Azul"
_@M148_ "Ambos"
_@M149_ "Ambos"
_@M150_ "Barra Inferior "
_@M151_ "Cajón (Box)"
_@M152_ "Cajón sin Unidades"
_@M153_ "Cajón, con Unidades"
_@M154_ "Brg"
_@M155_ "CONFIRMAR Altura de Llegada Segura\n"
_@M156_ "CERRAR"
_@M157_ "CERRADO"
_@M158_ "CONFIRMAR IR A, ABORTAR MANGA?"
_@M159_ "CONFIRMAR IR A, ABORTAR MANGA?"
_@M160_ "Calculo"
_@M161_ "Cancelar"
_@M162_ "No se puede Sobrescribir!"
_@M163_ "Automóvil"
_@M164_ "Categoría "
_@M165_ "Tendencia del Techo"
_@M166_ "Centro "
_@M167_ "Centro"
_@M168_ "Cambios a la Configuración guardados."
_@M169_ "Waypoint seleccionado no está en la Manga."
_@M170_ "Valor del Zoom de Giro "
_@M171_ "Radio del Giro"
_@M172_ "Zoom de Giro OFF"
_@M173_ "Zoom de Giro ON"
_@M174_ "Zoom de Giro "
_@M175_ "Giro"
_@M176_ "Clásico"
_@M177_ "Cancelar Alternos"
_@M178_ "Cancelar Manga"
_@M179_ "Cancelar la Manga?"
_@M180_ "Cancelar"
_@M181_ "Tendencia de Ascenso"
_@M182_ "Ascenso"
_@M183_ "Altura de Corte "
_@M184_ "Corte"
_@M185_ "Cerrar "
_@M186_ "Cerrar"
_@M187_ "Techo de Nubes"
_@M188_ "Código"
_@M189_ "Colores"
_@M190_ "Comentario"
_@M191_ "Comentario: "
_@M192_ "Comunes"
_@M193_ "COMs con Volkslogger"
_@M194_ "Waypoint de CompeGPS"
_@M195_ "Configuración"
_@M196_ "Configurar Teclas Propias"
_@M197_ "Configurar Topología"
_@M198_ "Confirma SALIDA?"
_@M199_ "Conectado"
_@M200_ "Copiar"
_@M201_ "No se pudo abrir Archivo IGC!"
_@M202_ "Zoom de Vuelo "
_@M203_ "Eficiencia de vuelo"
_@M204_ "Posición presente actualizada"
_@M205_ "Teclas Propias"
_@M206_ "Archivo propio de Polar "
_@M207_ "Configuración de Teclas Propias guardada"
_@M208_ "Personalizar fuentes"
_@M209_ "Cian"
_@M210_ "Cilindro"
_@M211_ "Turnpoints DAT"
_@M212_ "TIRAR LASTRE"
_@M213_ "Área Peligrosa"
_@M214_ "Áreas Peligrosas"
_@M215_ "Gris Oscuro"
_@M216_ "Blanco Oscuro"
_@M217_ "Gris Oscuro"
_@M218_ "Azul Oscuro"
_@M219_ "Fecha"
_@M220_ "Horario de Retorno "
_@M221_ "Declarar Manga?"
_@M222_ "Declarar"
_@M223_ "Declarado"
_@M224_ "Simplificar Aterrizajes "
_@M225_ "Simplificar Waypoints "
_@M226_ "Zoom de Mapa Default"
_@M227_ "Default"
_@M228_ "Borrar"
_@M229_ "Borrar Waypoint?"
_@M230_ "Borrar"
_@M231_ "Detalles"
_@M232_ "Dispositivo A"
_@M233_ "Dispositivo B"
_@M234_ "Modelo del Dispositivo "
_@M235_ "Cajones de diálogo"
