# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  110102
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

_@M1_ " Διαφορά"
_@M2_ " Αποσταση"
_@M3_ " GS"
_@M4_ " Reg"
_@M5_ " Διακ"
_@M6_ "< Προηγ"
_@M7_ "(Κενό)"
_@M8_ "(Τέλος)"
_@M9_ "(Άκυρο)"
_@M10_ "1 Τοποθεσία"
_@M11_ "10 Διεπαφή"
_@M12_ "11 Εμφάνιση"
_@M13_ "12 Γραμματοσειρά"
_@M14_ "13 Δεδομένα Χάρτη "
_@M15_ "14 Αγώνας"
_@M16_ "15 Κανόνες Διαδρομής"
_@M17_ "15 δευτερόλεπτα"
_@M18_ "16 Πληροφορίες πορείας"
_@M19_ "17 Πληροφορίες Θερμικού"
_@M20_ "18 Πληροφορίες Final Glide"
_@M21_ "19 Βοηθητικές πληροφορίες"
_@M22_ "2 Εναέριος Χώρος"
_@M23_ "2 Λεπτά"
_@M24_ "20 Καταγραφέας"
_@M25_ "21 Επεξεργασία Σημείων"
_@M26_ "22 Σύστημα"
_@M27_ "23 Παραπέντε/Αετοί"
_@M28_ "3 Εμφάνιση Χάρτη"
_@M29_ "3 Λεπτά"
_@M30_ "30 δευτερόλεπτα"
_@M31_ "Ορισμός 3D "
_@M32_ "4 Εμφάνιση Εδάφους"
_@M33_ "5 Υπολογιστής Πτήσης"
_@M34_ "6 Παράγοντες ασφαλείας"
_@M35_ "60 δευτερόλεπτα"
_@M36_ "7 Αεροσκάφος"
_@M37_ "8 Συσκευές"
_@M38_ "9 Μονάδες μέτρησης"
_@M39_ "90 δευτερόλεπτα"
_@M40_ "Διαδρομή σε εξέλιξη!"
_@M41_ "AAT min time"
_@M42_ "AAT to go"
_@M43_ "AAT"
_@M44_ "ACK μέρα"
_@M45_ "ACK διάστημα"
_@M46_ "ACK προειδοποίηση"
_@M47_ "Άκυρο"
_@M48_ "Αποδοχή"
_@M49_ "Επίτευξη MacCready"
_@M50_ "Επίτευξη Ταχύτητας"
_@M51_ "Αναγνώριση Ημέρας?"
_@M52_ "Αναγνώριση Χρόνου*"
_@M53_ "Ενεργός Χάρτης "
_@M54_ "Προσθήκη σημείου"
_@M55_ "Προχωρημένο.."
_@M56_ "Ταυτ. Αεροσκάφους: "
_@M57_ "Νηολόγησης Αεροσκάφους"
_@M58_ "Κατάσταση Αεροσκάφους"
_@M59_ "Τύπος Αεροσκάφους"
_@M60_ "Τύπος Αεροσκάφους: "
_@M61_ "Ταχύτητα ανέμου "
_@M62_ "Αεροδρόμιο"
_@M63_ "Εναέριος χώρ.1 "
_@M64_ "Εναέριος χώρ.2 "
_@M65_ "Λεπτομέριες Εναέριου χώρου"
_@M66_ "Προειδοποιήσεις Εναέριου χώρου"
_@M67_ "Εμφάν. Εναέριου Χώρ. "
_@M68_ "Εναέριος χώρος"
_@M69_ "Εναέριοι χώροι: ΟΛΑ ΧΑΜΗΛΑ"
_@M70_ "Εναέριοι χώροι: ΟΛΑ ΕΚΤΟΣ"
_@M71_ "Εναέριοι χώροι: ΟΛΑ ΕΝΤΟΣ"
_@M72_ "Εναέριοι χώροι: AUTO"
_@M73_ "Εναέριοι χώροι: ΚΟΜΜΕΝΑ"
_@M74_ "Εναέριοι χώροι: ΕΝΤΟΣ"
_@M75_ "ΟΛΑ ΕΚΤΟΣ"
_@M76_ "ΟΛΑ ΕΝΤΟΣ"
_@M77_ "Όλα χαμηλά"
_@M78_ "Όλα μαύρα"
_@M79_ "Όλα εντός"
_@M80_ "Όλα τα Σημεία"
_@M81_ "Όλα λευκά"
_@M82_ "Already going home"
_@M83_ "Alt diff Mc 0"
_@M84_ "Alt diff Mc current"
_@M85_ "Alt diff Mc safety"
_@M86_ "Εναλλαντικά αρχικά σημεία"
_@M87_ "Εναλλακτικά"
_@M88_ "Υψόμετρο "
_@M89_ "Υψόμετρο"
_@M90_ "Χρήση πάντα MC=0"
_@M91_ "Χρήση πάντα ασφαλούς MC"
_@M92_ "Amber"
_@M93_ "Ανάλυση"
_@M94_ "Animation"
_@M95_ "Προσάρτηση στην Διαδρομή"
_@M96_ "Arm start"
_@M97_ "Arm"
_@M98_ "ΥψόμετροΤερματισμού"
_@M99_ "Arrow head"
_@M100_ "Ερώτηση"
_@M101_ "Assigned task time"
_@M102_ "Auto Advance: ARMED"
_@M103_ "Auto Advance: Automatic"
_@M104_ "Auto Advance: DISARMED"
_@M105_ "Auto Advance: Manual"
_@M106_ "Auto Backlight "
_@M107_ "Auto Final Glide "
_@M108_ "Auto Force Final Glide "
_@M109_ "Auto Mc mode "
_@M110_ "Auto SoundVolume "
_@M111_ "Auto advance "
_@M112_ "Auto advance"
_@M113_ "Auto logger "
_@M114_ "Auto wind "
_@M115_ "Auto zoom "
_@M116_ "Μέσ. Άνοδος"
_@M117_ "Μ.Ο. ρυθμού Ανόδου"
_@M118_ "Μ.Ο. Ανόδου"
_@M119_ "ΕΦΕΔΡΙΚΗ ΜΠΑΤΑΡΙΑ ON"
_@M120_ "ΥΨΟΜΕΤΡΟ BARO ΔΙΑΘΕΣΙΜΟ"
_@M121_ "ΥΨΟΜΕΤΡΟ BARO ΟΧΙ ΔΙΑΘΕΣΙΜΟ"
_@M122_ "ΥΨΟΜΕΤΡΟ BARO ΟΧΙ ΔΙΑΘΕΣΙΜΟ, ΧΡΗΣΗ ΥΨΟΜΕΤΡΟΥ ΜΕ GPS"
_@M123_ "ΜΠΑΤΑΡΙΑ 100% ΦΟΡΤΙΣΜΕΝΗ"
_@M124_ "ΦΟΡΤΗΣΗ ΜΠΑΤΑΡΙΑΣ"
_@M125_ "Έρμα "
_@M126_ "Χρόνος αποβ.έρματος"
_@M127_ "Βαρογράφος"
_@M128_ "Βάση"
_@M129_ "Βασικές ρυθμίσεις"
_@M130_ "Βασικές ρυθμίσεις menu"
_@M131_ "Βασικά"
_@M132_ "Batt.1 Volt"
_@M133_ "Batt.2 Volt"
_@M134_ "Μπαταρία"
_@M135_ "Baudrate "
_@M136_ "Διόπτευση  "
_@M137_ "Διόπτευση "
_@M138_ "Διόπτευση"
_@M139_ "Κάτω"
_@M140_ "Καλύτερο LD"
_@M141_ "Προειδοποίηση καλύτερης εναλακτικής "
_@M142_ "Μεγάλες Πόλεις "
_@M143_ "Μεγάλοι Δρόμοι "
_@M144_ "Μαύρο"
_@M145_ "Κενό!"
_@M146_ "Block speed to fly "
_@M147_ "Λίμνη"
_@M148_ "καί τα δύο (Fin+Ave)"
_@M149_ "Καί τα δυο"
_@M150_ "Κάτω Μπάρα "
_@M151_ "Box"
_@M152_ "Boxed, no units"
_@M153_ "Boxed, with units"
_@M154_ "Brg"
_@M155_ "CHECK safety arrival altitude\n"
_@M156_ "ΚΛΕΙΝΩ"
_@M157_ "ΚΛΕΙΣΤΟ"
_@M158_ "CONFIRM GOTO, ABORTING TASK?"
_@M159_ "CONFIRM goto, ABORTING task?"
_@M160_ "Υπολογισμός"
_@M161_ "Άκυρο"
_@M162_ "Cannot overwrite!"
_@M163_ "Αυτοκίνητο"
_@M164_ "Κατηγορία "
_@M165_ "Ceiling trend"
_@M166_ "Κέντρο "
_@M167_ "Κέντρο"
_@M168_ "Αλλαγές στη διαμόρφωση αποθηκεύτηκαν."
_@M169_ "Το επιλεγμένο σημείο δεν ανήκει στην τρέχουσα διαδρομή."
_@M170_ "Circ.zoom value "
_@M171_ "Ακτίνα κύκλου"
_@M172_ "Μεγένθυση Κυκλώματος OFF"
_@M173_ "Μεγένθυση Κυκλώματος ON"
_@M174_ "Ζoom κυκλώματος "
_@M175_ "Κύκλωμα"
_@M176_ "Κλασσικό"
_@M177_ "Ακύρωση Εναλλακτικών"
_@M178_ "Ακύρωση Διαδρομής"
_@M179_ "Ακύρωση Διαδρομής?"
_@M180_ "Ακύρωση"
_@M181_ "Τάση Ανόδου"
_@M182_ "Άνοδος"
_@M183_ "Clip altitude "
_@M184_ "Clip"
_@M185_ "Κλείσιμο "
_@M186_ "Κλείσιμο"
_@M187_ "Βάση Νεφών"
_@M188_ "Κωδικός"
_@M189_ "Χρώματα"
_@M190_ "Σχόλια"
_@M191_ "Σχόλια: "
_@M192_ "Κοινά"
_@M193_ "Comms with Volkslogger"
_@M194_ "CompeGPS Σημεία"
_@M195_ "Διαμόρφωση"
_@M196_ "Διαμόρφωση Custom Keys"
_@M197_ "Διαμόρφωση Τοπολογίας"
_@M198_ "Επιβεβαίωση Εξόδου?"
_@M199_ "Σύνδεση"
_@M200_ "Αντιγραφή"
_@M201_ "Δεν μπορεί να ανοίξη το αρχείο IGC!"
_@M202_ "Zoom πορείας "
_@M203_ "Αποτελ/κότητα Πορείας"
_@M204_ "Current position updated"
_@M205_ "Custom Keys"
_@M206_ "Custom Polar file "
_@M207_ "Custom keys config saved"
_@M208_ "Customize Fonts"
_@M209_ "Κόκκινο"
_@M210_ "Κύλινδρος"
_@M211_ "DAT Σημεία"
_@M212_ "ΕΚΚΕΝΩΣΗ ΕΡΜΑΤΟΣ"
_@M213_ "Επικίνδυνη περιοχή"
_@M214_ "Επικίνδυνες περιοχές"
_@M215_ "Σκούρο Γκρί"
_@M216_ "Σκούρο Λευκό"
_@M217_ "Σκούρο Γκρί"
_@M218_ "Σκούρο Μπλέ"
_@M219_ "Ημερομηνία"
_@M220_ "Debounce time "
_@M221_ "Declare Task?"
_@M222_ "Δήλωση"
_@M223_ "Δηλώθηκε"
_@M224_ "Τακτοποίηση προσγειώσεων "
_@M225_ "Τακτοποίηση σημείων "
_@M226_ "Προεπιλογή zoom Χάρτη"
_@M227_ "Προεπιλογή"
_@M228_ "Διαγραφή"
_@M229_ "Διαγραφή Σημείου?"
_@M230_ "Διαγραφή"
_@M231_ "Λεπτομέρειες"
_@M232_ "Συσκευή A"
_@M233_ "Συσκευή B"
_@M234_ "Μοντέλο Συσκευής "
_@M235_ "Κουτιά Διαλόγου"
_@M236_ "Απευθείας Goto"
_@M237_ "Κατεύθυν. "
_@M238_ "Κατεύθυν."
_@M239_ "Απενεργοποίηση"
_@M240_ "Disconnected"
_@M241_ "Οθόνη"
_@M242_ "Υπολοιπόμενη Απόσταση"
_@M243_ "Απόσταση  "
_@M244_ "Απόσταση "
_@M245_ "Απόσταση"
_@M246_ "Χρόνος Αποφόρτησης "
_@M247_ "ETE"
_@M248_ "ΕΞΟΔΟΣ"
_@M249_ "Επεξεργασία γραμματοσειράς"
_@M250_ "Επεξεργασία αρχικών σημείων"
_@M251_ "Επεξεργασία κειμένου"
_@M252_ "Επεξεργασία"
_@M253_ "Efficiency "
_@M254_ "EfficiencyReq"
_@M255_ "Υψόμετρο"
_@M256_ "Σμαραγδένιο πράσινο"
_@M257_ "Empty mapcolor "
_@M258_ "Ενεργοποιώ"
_@M259_ "Ενεργοποίηση"
_@M260_ "Engineering Menu*"
_@M261_ "Εισαγωγή Αριθμού"
_@M262_ "Equivalent MC"
_@M263_ "Σφάλμα κατά την αποθήκευση διαδρομής!"
_@M264_ "Σφάλμα στο αρχείο διαδρμής!"
_@M265_ "Σφάλμα! Διαδρομή ΔΕΝ έχει δηλωθεί!"
_@M266_ "Σφάλμα"
_@M267_ "Εκτιμώμενος χρόνος"
_@M268_ "Εκδήλωση "
_@M269_ "Εξαίρεση"
_@M270_ "Αναμενόμενη άφιξη νωρίτερα το προκαθορισμένου χρόνου"
_@M271_ "Ειδικός"
_@M272_ "Παρατεταμένο VisualGlide"
_@M273_ "Παρατεταμένος"
_@M274_ "FAI Sector"
_@M275_ "FAI τελικό ύψος"
_@M276_ "FAI τελικό ύψος"
_@M277_ "FALLBACK USING GPS ON PORT"
_@M278_ "FALSE"
_@M279_ "FLARM DETECTED"
_@M280_ "FLARM on map "
_@M281_ "FLY"
_@M282_ "Χωράφι"
_@M283_ "File browser"
_@M284_ "Τύπος Αρχείου"
_@M285_ "Αρχείο"
_@M286_ "Φίλτρο"
_@M287_ "Φίλτρο..."
_@M288_ "Final glide automatic"
_@M289_ "Final glide forced ON"
_@M290_ "Final glide"
_@M291_ "Min ύψος Τερματισμού"
