# LK8000 HUNGARIAN MESSAGES - HUN_MSG.TXT
# UPDATED:  120214
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# ATTENTION> Max number of tokens is defined in LKLanguage as MAX_MESSAGES
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

_@M1_ " Diff"
_@M2_ " Táv"
_@M3_ " GS"
_@M4_ " Reg"
_@M5_ " Var"
_@M6_ "< Előző"
_@M7_ "(üres)"
_@M8_ "(finish)"
_@M9_ "(érvénytelen)"
_@M10_ "1 Repülési terület"
_@M11_ "10 Interfész"
_@M12_ "11 Megjelenés"
_@M13_ "12 Betűtipusok"
_@M14_ "13 Térkép matricák"
_@M15_ "14 Feladat"
_@M16_ "Legalább egynek a TRM0-n kívül be kell lennie kapcsolva. NAV1-et bekapcsolom."
_@M17_ "15 másodperc"
_@M18_ "16 Siklás módban megjelenő adatok"
_@M19_ "17 Termik módban megjelenő adatok"
_@M20_ "18 Végsiklás módban megjelenő adatok"
_@M21_ "19 Kiegészítő módban megjelenő adatok"
_@M22_ "2 Légtér"
_@M23_ "2 perc"
_@M24_ "20 Logger"
_@M25_ "21 Fordulópont szerkeszt"
_@M26_ "22 Rendszer"
_@M27_ "23 Siklóernyő/Sárkány specifikus"
_@M28_ "3 Térkép megjelenítés"
_@M29_ "3 perc"
_@M30_ "30 másodperc"
_@M31_ "3D fix"
_@M32_ "4 Terep megjelenítés"
_@M33_ "5 Fedélzeti számítások"
_@M34_ "6 Biztonsági tényezők"
_@M35_ "60 másodperc"
_@M36_ "7 Repülőgép"
_@M37_ "8 Eszközök"
_@M38_ "9 Mértékegységek"
_@M39_ "90 másodperc"
_@M40_ "A feladat fut!"
_@M41_ "AAT min idő"
_@M42_ "AAT hátralévő"
_@M43_ "AAT"
_@M44_ "Napi ny."
_@M45_ "Légtér ny."
_@M46_ "Figy. nyugta"
_@M47_ "Megszakít"
_@M48_ "Elfogad"
_@M49_ "Elért McCready"
_@M50_ "Elért sebesség"
_@M51_ "Nyugtázzam egész napra?"
_@M52_ "Nyugtázási idő"
_@M53_ "Aktív Térkép"
_@M54_ "Fordulópont hozzáadása"
_@M55_ "Haladó.."
_@M56_ "Repülőgép Id:"
_@M57_ "Repülőgép lajstrom"
_@M58_ "Repülőgép Státusz"
_@M59_ "Repülőgép tipus"
_@M60_ "Repülőgép tipus:"
_@M61_ "Repgép/szél sebesség"
_@M62_ "Repülőtér"
_@M63_ "Légtér fájl 1"
_@M64_ "Légtér fájl 2"
_@M65_ "Légtér adatok"
_@M66_ "Légtér figyelmeztetések"
_@M67_ "Légterek kijelzése"
_@M68_ "Légtér"
_@M69_ "Légterek: Lentebbiek"
_@M70_ "Légterek: Mind ki"
_@M71_ "Légterek: Mind látszik"
_@M72_ "Légterek: Auto"
_@M73_ "Légterek: Vágva"
_@M74_ "Légterek: Amin belül vagy"
_@M75_ "Mind KI"
_@M76_ "Mind BE"
_@M77_ "Mind alul"
_@M78_ "Mind fekete"
_@M79_ "Mind BE"
_@M80_ "Összes fordulópont"
_@M81_ "Mind fehér"
_@M82_ "Már úton van hazafelé"
_@M83_ "Mag.kül. Mc 0"
_@M84_ "Mag.kül. Mc akt."
_@M85_ "Mag.kül. Mc bizt."
_@M86_ "Alternatív indulási pontok"
_@M87_ "Alternatív"
_@M88_ "Magasság"
_@M89_ "Magasság"
_@M90_ "Mindig MC=0-t használ"
_@M91_ "Mindig a biztonsági MC-t használja"
_@M92_ "Borostyán"
_@M93_ "Analízis"
_@M94_ "Animáció"
_@M95_ "Feladathoz adás"
_@M96_ "Élesítés csak a startnál"
_@M97_ "Élesítés"
_@M98_ "Érkezési magasság"
_@M99_ "Nyíl fej"
_@M100_ "Kérdez"
_@M101_ "Hozzárendelt feladat idő"
_@M102_ "Auto előlépés: ÉLESÍTÉS"
_@M103_ "Auto előlépés: Automatikus"
_@M104_ "Auto előlépés: HATÁSTALANÍTVA"
_@M105_ "Auto előlépés: Kézi"
_@M106_ "Auto Háttérfény"
_@M107_ "Auto végsiklás mód"
_@M108_ "Auto Végsiklás kényszerítés"
_@M109_ "Auto McCready mód"
_@M110_ "Auto Hangerő"
_@M111_ "Auto előlépés"
_@M112_ "Auto előlépés"
_@M113_ "Auto logger start/stop"
_@M114_ "Aut. szél számítás"
_@M115_ "Auto zoom"
_@M116_ "Átlag emelés"
_@M117_ "Átlagos emelkedősebesség"
_@M118_ "Átlagos emelés"
_@M119_ "TARTALÉK TÁPEGYSÉG BE"
_@M120_ "BARO MAGASSÁG HASZNÁLVA"
_@M121_ "BARO MAGASSÁG NINCS"
_@M122_ "BARO MAGASSÁG NINCS, GPS MAGASSÁG HASZNÁLVA"
_@M123_ "AKKU FELTÖLTVE"
_@M124_ "AKKU TÖLTŐDIK"
_@M125_ "Ballaszt"
_@M126_ "Ballaszt kiengedési idő"
_@M127_ "Barográf"
_@M128_ "Alja"
_@M129_ "Alap beállítások"
_@M130_ "Alap beállítások menü"
_@M131_ "Felhasználó"
_@M132_ "Akku1 fesz."
_@M133_ "Akku2 fesz."
_@M134_ "AKKU Telep"
_@M135_ "Baud, adatb."
_@M136_ "Irány"
_@M137_ "Irány"
_@M138_ "Irány"
_@M139_ "Lentiek"
_@M140_ "Legjobb E"
_@M141_ "BestAlternate figyelm."
_@M142_ "Nagy települések"
_@M143_ "Nagy utak"
_@M144_ "Fekete"
_@M145_ "Üres!"
_@M146_ "Kért seb. zárolása"
_@M147_ "Kék tó"
_@M148_ "Mindkettő (Vég+Átl)"
_@M149_ "Mindkettő"
_@M150_ "Alsó sávban lévők"
_@M151_ "Box"
_@M152_ "Kerettel, m.egység nélkül"
_@M153_ "Kerettel, m.egységgel"
_@M154_ "Irny"
_@M155_ "ELLENŐRIZD a biztonsági érkezési magasságot\n"
_@M156_ "ZÁR"
_@M157_ "ZÁRVA"
_@M158_ "BIZTOSAN ODA MENJÜNK, MEGSZAKÍTVA A FELADATOT?"
_@M159_ "BIZTOSAN ODA MENJÜNK, MEGSZAKÍTVA A FELADATOT?"
_@M160_ "Számítás"
_@M161_ "Mégsem"
_@M162_ "Nem írható felül!"
_@M163_ "Autó"
_@M164_ "Repülőgép kategória"
_@M165_ "Felhőalap trend"
_@M166_ "Középső"
_@M167_ "Központ"
_@M168_ "A beállítások változásai elmentve."
_@M169_ "A kiválasztott fordulópont nincs benne a feladatban."
_@M170_ "Köröz.zoom érték"
_@M171_ "Kör sugár"
_@M172_ "Körözési Zoom KI"
_@M173_ "Körözési Zoom BE"
_@M174_ "Körözési zoom"
_@M175_ "Körözés"
_@M176_ "Klasszikus"
_@M177_ "Altern1-2 törlése"
_@M178_ "Feladat törlése"
_@M179_ "Töröljem a feladatot?"
_@M180_ "Törlés"
_@M181_ "Emelkedési trend"
_@M182_ "Emelkedés"
_@M183_ "Vágási magasság"
_@M184_ "Vágás"
_@M185_ "Bezár"
_@M186_ "Bezár"
_@M187_ "Felhőalap"
_@M188_ "Kód"
_@M189_ "Szinek"
_@M190_ "Komment"
_@M191_ "Komment:"
_@M192_ "Közös adatok"
_@M193_ "Kommunikáció a Volkslogger-rel"
_@M194_ "CompeGPS Fordulópont"
_@M195_ "Beállítások"
_@M196_ "Egyéni gomb beáll."
_@M197_ "Topológia beállításai"
_@M198_ "Biztosan kilépsz a programból?"
_@M199_ "Kapcsolódva"
_@M200_ "Másol"
_@M201_ "Nem tudom megnyitni az IGC fájl-t!"
_@M202_ "Siklási Zoom"
_@M203_ "Siklás hatásfoka"
_@M204_ "Aktuális pozíció frissítve"
_@M205_ "Egyéni gombok"
_@M206_ "Egyéni poláris fájl"
_@M207_ "Egyéni gombok beállításai elmentve"
_@M208_ "Testreszabás"
_@M209_ "Cián"
_@M210_ "Henger"
_@M211_ "DAT Fordulópontok"
_@M212_ "BALLASZT KIENGEDÉS"
_@M213_ "Veszély Zóna"
_@M214_ "Veszélyzónák"
_@M215_ "Sötét szürke"
_@M216_ "Sötét fehér"
_@M217_ "Sötét szürke"
_@M218_ "Sötétkék"
_@M219_ "Dátum"
_@M220_ "Pergésmentesítési idő"
_@M221_ "Feladat deklarálása?"
_@M222_ "Deklarál"
_@M223_ "Deklarálva"
_@M224_ "Leszállóhelyek ritkítása"
_@M225_ "Ford.pontok ritkítása"
_@M226_ "Alap térkép zoom"
