# LK8000 NEDERLANDS MESSAGES - NED_MSG.TXT
# MASTER UPDATED:  121005
# Version: February 2013
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# ATTENTION> Max number of tokens is defined in LKLanguage as MAX_MESSAGES
#
# If you add messages, as a developer, do not recycle numbers, because translations assume
# that a nonexisting token should be replaced by the english original.
# But if a old token was translated, it will still appear like that, wrong!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT ON GITHUB

_@M1_ " Diff"
_@M2_ " Afstand"
_@M3_ " GS"
_@M4_ " Reg"
_@M5_ " Var"
_@M6_ "Vorige\n<"
_@M7_ "(leeg)"
_@M8_ "(finish)"
_@M9_ "(ongeldig)"
_@M10_ "1 Bestanden"
_@M11_ "10 Interface"
_@M12_ "11 Uiterlijk"
_@M13_ "12 Lettertypen"
_@M14_ "13 Map Overlays "
_@M15_ "14 Opdracht"
_@M16_ "Tenminste een (TRM0 niet mee geteld) moet aan staan. Zet NAV1 aan."
_@M17_ "15 Seconden"
_@M18_ "16 InfoBox Kruisen"
_@M19_ "17 InfoBox Thermiek"
_@M20_ "18 InfoBox Final Glide"
_@M21_ "19 InfoBox Extra"
_@M22_ "2 Luchtruim"
_@M23_ "2 minuten"
_@M24_ "20 Logger"
_@M25_ "21 Keerpunten aanpassen"
_@M26_ "22 Systeem"
_@M27_ "23 Paragliders/Delta specials"
_@M28_ "3 Kaart Weergave"
_@M29_ "3 minuten"
_@M30_ "30 seconden"
_@M31_ "3D fix"
_@M32_ "4 Terrein Weergave"
_@M33_ "5 Vluchtcomputer"
_@M34_ "6 Veiligheidsfactoren"
_@M35_ "60 seconden"
_@M36_ "7 Vliegtuig"
_@M37_ "8 Apparaten"
_@M38_ "9 Eenheden"
_@M39_ "90 seconden"
_@M40_ "Een taak is in uitvoering!"
_@M41_ "AAT min tijd"
_@M42_ "AAT te gaan"
_@M43_ "AAT"
_@M44_ "ACK Dag"
_@M45_ "ACK L.ruim"
_@M46_ "ACK Waarsch."
_@M47_ "Afbreken"
_@M48_ "   OK   "
_@M49_ "Bereikte MacCready"
_@M50_ "Bereikte Snelheid"
_@M51_ "Erken voor een dag?"
_@M52_ "Erken tijd*"
_@M53_ "Actieve Map "
_@M54_ "Voeg keerpunt toe"
_@M55_ "gevorderd.."
_@M56_ "Vliegtuig Id: "
_@M57_ "Vliegtuig Registratie"
_@M58_ "Vliegtuig Status"
_@M59_ " Vliegtuig type"
_@M60_ " Vliegtuig type: "
_@M61_ " Vliegtuig /wind snelheid "
_@M62_ "Vliegveld"
_@M63_ "Luchtruim 1 "
_@M64_ "Luchtruim 2 "
_@M65_ "Luchtruim Details"
_@M66_ "Luchtruim waarschuwingen"
_@M67_ "Luchtruim weergave "
_@M68_ "Luchtruim"
_@M69_ "Luchtruim: Alles Beneden"
_@M70_ " Luchtruim: Alles Uit"
_@M71_ " Luchtruim: Alles Aan"
_@M72_ " Luchtruim: Automatisch"
_@M73_ " Luchtruim: Doorsnede"
_@M74_ " Luchtruim: Binnen"
_@M75_ "Alles uit"
_@M76_ "Alles aan"
_@M77_ "Alles onder"
_@M78_ "Alles zwart"
_@M79_ "Alles aan"
_@M80_ "Alle keerpunten"
_@M81_ "Alles wit"
_@M82_ "Gaat al huiswaarts"
_@M83_ "Alt verschil Mc 0"
_@M84_ "Alt verschil Mc huidig"
_@M85_ "Alt verschil Mc veiligheid"
_@M86_ "Alternatieve startpunten"
_@M87_ "Alternatief"
_@M88_ "Hoogte "
_@M89_ "Hoogte"
_@M90_ "Gebruikt altijd MC=0"
_@M91_ "Gebruik altijds veiligheids MC"
_@M92_ "Amber"
_@M93_ "Analyse"
# 94 REMOVED after v2.3
_@M94_ "Animatie"
