# LK8000 RUSSIAN MESSAGES - RUS_MSG.TXT
# MASTER UPDATED:  130215
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

_@M1_ "Разл"
_@M2_ "Дист"
_@M3_ "Скор"
_@M4_ "Рег"
_@M5_ "Вар"
_@M6_ "< Наз"
_@M7_ "(пустой)"
_@M8_ "(финиш)"
_@M9_ "(недейств)"
_@M10_ "1 Местность"
_@M11_ "10 Настройки экрана"
_@M12_ "11 Внешний вид"
_@M13_ "12 Шрифты"
_@M14_ "13 Наложения поверх карты"
_@M15_ "14 Задача"
_@M16_ "Должен быть влючен как минимум один кроме ТРМ0. Включаю НАВ1"
_@M17_ "15 секунд"
_@M18_ "16 Инфоблок Переход"
_@M19_ "17 Инфоблок Поток"
_@M20_ "18 Инфоблок Долет"
_@M21_ "19 Инфоблок Резерв"
_@M22_ "2 Воздушное пространство"
_@M23_ "2 минуты"
_@M24_ "20 Запись трека"
_@M25_ "21 Редактор точек"
_@M26_ "22 Система"
_@M27_ "23 Параплан/Дельтаплан"
_@M28_ "3 Отображение карты"
_@M29_ "3 минуты"
_@M30_ "30 секунд"
_@M31_ "3D позиция"
_@M32_ "4 Отображение ландшафта"
_@M33_ "5 Полетный компьютер"
_@M34_ "6 Безопасность"
_@M35_ "60 секунд"
_@M36_ "7 Летательный аппарат"
_@M37_ "8 Устройства"
_@M38_ "9 Единицы измерения"
_@M39_ "90 секунд"
_@M40_ "ЗАДАЧА ВЫПОЛНЯЕТСЯ!"
_@M41_ "AAT мин время"
_@M42_ "AAT to go"
_@M43_ "AAT"
_@M44_ "ACK День"
_@M45_ "ACK Простр."
_@M46_ "ACK Предупр."
_@M47_ "Прервать"
_@M48_ "Принять"
_@M49_ "Достигнутый MC "
_@M50_ "Достигнутая скорость "
_@M51_ "Подтверждение на день?"
_@M52_ "Время подтвержд.*"
_@M53_ "Активная карта "
_@M54_ "Добавить точку"
_@M55_ "Расширенный"
_@M56_ "Номер ЛА:"
_@M57_ "Регистрационный номер"
_@M58_ "Статус ЛА"
_@M59_ "Тип ЛА"
_@M60_ "Тип ЛА:"
_@M61_ "Скорость полета "
_@M62_ "Аэродром"
_@M63_ "Файл ВП 1 "
_@M64_ "Файл ВП 2 "
_@M65_ "Подробно ВП"
_@M66_ "Предупреждения ВП"
_@M67_ "Фильтр зон ВП "
_@M68_ "Зоны Воздушного Пространства"
_@M69_ "ЗОНЫ ВП: ВСЕ НИЖЕ"
_@M70_ "ЗОНЫ ВП: ВСЕ ВЫКЛЮЧЕНЫ"
_@M71_ "ЗОНЫ ВП: ВСЕ ВКЛЮЧЕНЫ"
_@M72_ "ЗОНЫ ВП: АВТО"
_@M73_ "ЗОНЫ ВП: В ДИАПАЗОНЕ"
_@M74_ "ЗОНЫ ВП: ВНУТРИ"
_@M75_ "Все выкл"
_@M76_ "Все вкл"
_@M77_ "Все ниже"
_@M78_ "Все черным"
_@M79_ "Все включены"
_@M80_ "Все точки"
_@M81_ "Все белым"
_@M82_ "Лететь домой"
_@M83_ "Высота при MС 0"
_@M84_ "Высота при текущ MС"
_@M85_ "Высота при безоп MС"
_@M86_ "Альт старт точки"
_@M87_ "Настроить"
_@M88_ "Высота "
_@M89_ "Высота "
