# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  101216
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT.
#
# All lines that are empty, or starting with a 
# , are ignored.

# DEVELOPERS ADDING MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO





_@M1_ " Разлика"
_@M2_ " Растојање"
_@M3_ " БЗ"
_@M4_ " Рег."
_@M5_ " Променљива"
_@M6_ "<<<<<<-"
_@M7_ "(размак)"
_@M8_ "(крај)"
_@M9_ "(неважећи)"
_@M10_ "1 Кориснички подаци"
_@M11_ "10 Интерфејс"
_@M12_ "11 Изглед"
_@M13_ "12 Фонтови"
_@M14_ "13 Преклапање мапе "
_@M15_ "14 Задатак"
_@M16_ "15 Правила задат."
_@M17_ "15 секунди"
_@M18_ "16 InfoBox Једрење"
_@M19_ "17 InfoBox Термал"
_@M20_ "18 InfoBox Коначни пут"
_@M21_ "19 InfoBox Помоћни уређај"
_@M22_ "2 Ваздушни простор"
_@M23_ "2 минута"
_@M24_ "20 Летачки дневник"
_@M25_ "21 Подешавања тачака 'Waypoint'"
_@M26_ "22 Систем"
_@M27_ "23 Специјална подешавања Параглајдер/Змај"
_@M28_ "3 Преклапање мапе"
_@M29_ "3 минута"
_@M30_ "30 секунди"
_@M31_ "3Д поправка"
_@M32_ "4 Приказивање мапе терена"
_@M33_ "5 Рачунар путање кретања"
_@M34_ "6 Фактори сигутности"
_@M35_ "60 секунди"
_@M36_ "7 Ваздухоплов"
_@M37_ "8 Aпарати"
_@M38_ "9 Jedinice мере"
_@M39_ "90 секунди"
_@M40_ "Задатак је почео !"
_@M41_ "AAT мин.време"
_@M42_ "AAT отићи"
_@M43_ "AAT"
_@M44_ "ACK Дан"
_@M45_ "ACK Просек"
_@M46_ "ACK Упозорење"
_@M47_ "Прекинути"
_@M48_ "Прихватити"
_@M49_ "Постојећи MacCready"
_@M50_ "Постићи брзину"
_@M51_ "Признато за дан?"
_@M52_ "Потврђено време*"
_@M53_ "Активна мапа "
_@M54_ "Додај тачку 'Waypoint'"
_@M55_ "Напредно.."
_@M56_ "'ИБ'ваздухоплова: "
_@M57_ "Рег.ваздухоплова"
_@M58_ "Статус ваздухоплова"
_@M59_ "Тип ваздухоплова"
_@M60_ "Тип ваздухоплова: "
_@M61_ "Ваздух./Брзина ветра "
_@M62_ "Аеродром"
_@M63_ "Ваздуш.поље 1 "
_@M64_ "Ваздуш.поље 2 "
_@M65_ "Детаљи ваздуш.прост."
_@M66_ "Упозорења ваздуш.прост."
_@M67_ "Приказ ваздуш.прост. "
_@M68_ "Ваздушни прост."
_@M69_ "Ваз.прост.: СВЕ ИСПОД"
_@M70_ "Ваз.прост.: СВЕ ИСКЉ."
_@M71_ "Ваз.прост.: СВЕ УКЉУ."
_@M72_ "Ваз.прост.: Аутоматски"
_@M73_ "Ваз.прост.: СПОЈЕН"
_@M74_ "Ваз.прост.: УНУТРАШЊИ"
_@M75_ "СВЕ ИСКЉ."
_@M76_ "СВЕ УКЉУ."
_@M77_ "СВЕ ИСПОД"
_@M78_ "Све црноЋ
_@M79_ "Све укљу."
_@M80_ "Све тачке 'WP'"
_@M81_ "Све берло"
_@M82_ "Већ идем кући"
_@M83_ "Висина # Mc 0"
_@M84_ "Висина # Mc тренутни"
_@M85_ "Висина # Mc сигурни"
_@M86_ "Алтернативна полазна тачка"
_@M87_ "Алтернатива"
_@M88_ "Висина "
_@M89_ "Висина"
_@M90_ "Увек користи MC=0"
_@M91_ "Увек користи сигурни MC"
_@M92_ "Калибар"
_@M93_ "Анализе"
# 94 REMOVED after v2.3
_@M94_ "Aнимација "
_@M95_ "Додај у задатак"
_@M96_ "Arm старт"
_@M97_ "Arm"
_@M98_ "Долаѕзна висина"
# 99 REMOVED after v2.3
_@M99_ "Врх стрелице"
_@M100_ "Питај"
_@M101_ "Назначено време задатка"
_@M102_ "Аутом. Напредно: НАОРУЖАН"
_@M103_ "Аутом. Напредно: Аутоматски"
_@M104_ "Аутом. Напредно: НАОРУЖАН"
_@M105_ "Аутом. Напредно: Ручно"
_@M106_ "Аутом. позад. светло "
_@M107_ "Аутом. Циљна финеса "
