# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  101216
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT.
#
# All lines that are empty, or starting with a 
# , are ignored.

# DEVELOPERS ADDING MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO





_@M1_ " Razlika"
_@M2_ " Rastojanje"
_@M3_ " BZ"
_@M4_ " Reg."
_@M5_ " Promenlјiva"
_@M6_ "<<<<<<-"
_@M7_ "(razmak)"
_@M8_ "(kraj)"
_@M9_ "(nevažeći)"
_@M10_ "1 Korisnički podaci"
_@M11_ "10 Interfejs"
_@M12_ "11 Izgled"
_@M13_ "12 Fontovi"
_@M14_ "13 Preklapanje mape "
_@M15_ "14 Zadatak"
_@M16_ "15 Pravila zadat."
_@M17_ "15 sekundi"
_@M18_ "16 InfoBox Jedrenje"
_@M19_ "17 InfoBox Termal"
_@M20_ "18 InfoBox Konačni put"
_@M21_ "19 InfoBox Pomoćni uređaj"
_@M22_ "2 Vazdušni prostor"
_@M23_ "2 minuta"
_@M24_ "20 Letački dnevnik"
_@M25_ "21 Podešavanja tačaka 'Waypoint'"
_@M26_ "22 Sistem"
_@M27_ "23 Specijalna podešavanja Paraglajder/Zmaj"
_@M28_ "3 Preklapanje mape"
_@M29_ "3 minuta"
_@M30_ "30 sekundi"
_@M31_ "3D popravka"
_@M32_ "4 Prikazivanje mape terena"
_@M33_ "5 Računar putanje kretanja"
_@M34_ "6 Faktori sigutnosti"
_@M35_ "60 sekundi"
_@M36_ "7 Vazduhoplov"
_@M37_ "8 Aparati"
_@M38_ "9 Jedinice mere"
_@M39_ "90 sekundi"
_@M40_ "Zadatak je počeo !"
_@M41_ "AAT min.vreme"
_@M42_ "AAT otići"
_@M43_ "AAT"
_@M44_ "ACK Dan"
_@M45_ "ACK Prosek"
_@M46_ "ACK Upozorenje"
_@M47_ "Prekinuti"
_@M48_ "Prihvatiti"
_@M49_ "Postojeći MacCready"
_@M50_ "Postići brzinu"
_@M51_ "Priznato za dan?"
_@M52_ "Potvrđeno vreme*"
_@M53_ "Aktivna mapa "
_@M54_ "Dodaj tačku 'Waypoint'"
_@M55_ "Napredno.."
_@M56_ "'IB'vazduhoplova: "
_@M57_ "Reg.vazduhoplova"
_@M58_ "Status vazduhoplova"
_@M59_ "Tip vazduhoplova"
_@M60_ "Tip vazduhoplova: "
_@M61_ "Vazduh./Brzina vetra "
_@M62_ "Aerodrom"
_@M63_ "Vazduš.polјe 1 "
_@M64_ "Vazduš.polјe 2 "
_@M65_ "Detalјi vazduš.prost."
_@M66_ "Upozorenja vazduš.prost."
_@M67_ "Prikaz vazduš.prost. "
_@M68_ "Vazdušni prost."
_@M69_ "Vaz.prost.: SVE ISPOD"
_@M70_ "Vaz.prost.: SVE ISKLj."
_@M71_ "Vaz.prost.: SVE UKLjU."
_@M72_ "Vaz.prost.: Automatski"
_@M73_ "Vaz.prost.: SPOJEN"
_@M74_ "Vaz.prost.: UNUTRAŠNјI"
_@M75_ "SVE ISKLj."
_@M76_ "SVE UKLjU."
_@M77_ "SVE ISPOD"
_@M78_ "Sve crnoĆ
_@M79_ "Sve uklјu."
_@M80_ "Sve tačke 'WP'"
_@M81_ "Sve berlo"
_@M82_ "Već idem kući"
_@M83_ "Visina # Mc 0"
_@M84_ "Visina # Mc trenutni"
_@M85_ "Visina # Mc sigurni"
_@M86_ "Alternativna polazna tačka"
_@M87_ "Alternativa"
_@M88_ "Visina "
_@M89_ "Visina"
_@M90_ "Uvek koristi MC=0"
_@M91_ "Uvek koristi sigurni MC"
_@M92_ "Kalibar"
_@M93_ "Analize"
# 94 REMOVED after v2.3
_@M94_ "Animacija "
_@M95_ "Dodaj u zadatak"
_@M96_ "Arm start"
_@M97_ "Arm"
_@M98_ "Dolaѕzna visina"
# 99 REMOVED after v2.3
_@M99_ "Vrh strelice"
_@M100_ "Pitaj"
_@M101_ "Naznačeno vreme zadatka"
_@M102_ "Autom. Napredno: NAORUŽAN"
_@M103_ "Autom. Napredno: Automatski"
_@M104_ "Autom. Napredno: NAORUŽAN"
_@M105_ "Autom. Napredno: Ručno"
_@M106_ "Autom. pozad. svetlo "
_@M107_ "Autom. Cilјna finesa "
_@M108_ "Autom. Nasilna cilјna finesa "
_@M109_ "Autom. Mc mod "
_@M109_ "Autom. Mc mod "
_@M110_ "Autom. jačina zvuka "
_@M111_ "Autom. Napred. "
_@M112_ "Autom. Napredno"
_@M113_ "Autom. pisanje dnevnika "
_@M114_ "Automatski vetar "
_@M115_ "Autom. povećanje "
_@M116_ "Av penjanje"
_@M117_ "Srednja vrednost termala"
_@M118_ "Srednji termal"
_@M119_ "POMOĆNO NAPAJANјE UKLjUČENO"
_@M120_ "VISINA PO PRITISKU JE DOSTUPNA"
_@M121_ "VISINA PO PRITISKU NEDOSTUPNA"
_@M122_ "VISINA PO PRITISKU NEDOSTUPNA, KORISTI SE GPS VISINA"
_@M123_ "BATERIJA 100% NAPUNјENA"
_@M124_ "BATERIJA SE PUNI"
_@M125_ "Balast "
_@M126_ "Balast vreme praž. "
_@M127_ "Barograf"
_@M128_ "Baza"
_@M129_ "Osnovna podešavanja"
_@M130_ "Osnovno podeša. menija"
_@M131_ "Osnovno"
_@M132_ "Napon bater.1."
_@M133_ "Napon bater.2."
_@M134_ "Baterisko pakovanje"
_@M135_ "Baudrate "
_@M136_ "Pravac  "
_@M137_ "Pravac "
_@M138_ "Pravac"
_@M139_ "Ispod"
_@M140_ "Najbolјi T/D"
_@M141_ "Najbolј.Altern.upoz. "
_@M142_ "Veliki grad "
_@M143_ "Veliki put "
_@M144_ "Crno"
_@M145_ "Prazno!"
# 146 REMOVED after v2.3
_@M146_ "Blokiraj STF "
_@M147_ "Plavo jezero"
_@M148_ "Sve (Fines.+Pros.)"
_@M149_ "Obadvoje"
_@M150_ "Donji panel "
_@M151_ "Kutija"
_@M152_ "Okruženo, bez dimenzi."
_@M153_ "Okruženo, sa dimenzi."
_@M154_ "Azi"
_@M155_ "PROV. sigurne visine stizanja\n"
_@M156_ "ZATVORI"
_@M157_ "ZATVORENO"
_@M158_ "POTVRDI IDI NA, PREKID ZADATKA?"
_@M159_ "POTVRDI idi na, PREKID zadazka?"
_@M160_ "Račun."
_@M161_ "Prekid"
_@M162_ "Nemoguće prepisivanje!"
#M163 unused, changed to CarTrek
_@M163_ "Kola"
_@M164_ "Kategorija "
_@M165_ "Pravac plafona"
_@M166_ "Centar "
_@M167_ "Centar"
_@M168_ "Provera konfiguracije snimanja"
_@M169_ "Izabrana tačka 'WP' nije u aktuelnom zadatk."
_@M170_ "Vrednost kružnog + "
_@M171_ "Kružni p.prečn. "
_@M172_ "Uvećanje kruženja ISKLj."
_@M173_ "Uvećanje kruženja UKLjU."
_@M174_ "Kružno uvećanje "
_@M175_ "Kruženje"
# 176 UNUSED after v2.3
_@M176_ "Klasičan"
_@M177_ "Neizmenično brisa."
_@M178_ "Brisanje zadat."
_@M179_ "Brisanje zadatka?"
_@M180_ "Obrisan"
_@M181_ "Trend termala"
_@M182_ "Termal"
_@M183_ "Visina termala "
_@M184_ "Klip"
_@M185_ "Zatvori "
_@M186_ "Zatvori"
_@M187_ "Baza oblaka"
_@M188_ "Kod"
_@M189_ "Boje"
_@M190_ "Komentar"
_@M191_ "Komentar: "
_@M192_ "Opšti"
_@M193_ "Komanda sa 'Volkslogger'"
_@M194_ "CompeGPS tačka WP"
_@M195_ "Podešavanje"
_@M196_ "Podešav. klјučeva"
_@M197_ "Podeš. topologije"
_@M198_ "Potvrda za GAŠENјE TLK?"
_@M199_ "Konektovan"
_@M200_ "Kopiraj"
_@M201_ "Nije moguće otvoriti .IGC fajč!"
_@M202_ "Uvečanje jedrenja "
_@M203_ "Efikasnost jedrenja"
_@M204_ "Trenutna pozicija je korigovana"
_@M205_ "Prilagođeni tasteri"
_@M206_ "Izvorni fajl POLARE "
_@M207_ "Prilagođeni tasteri, konfiguracija snimanja"
_@M208_ "Izborna slova"
_@M209_ "Cian"
_@M210_ "Cilindar"
_@M211_ "DAT Okretne tačke"
_@M212_ "IZBACI BALAST"
_@M213_ "Opasno polјe"
_@M214_ "Opasna polјa"
_@M215_ "Tamno siva"
_@M216_ "Tamno bela"
_@M217_ "Tamno siva"
_@M218_ "Tamno plava"
_@M219_ "Datum"
_@M220_ "Vreme odziva "
_@M221_ "Objava zadatka?"
_@M222_ "Objaviti"
_@M223_ "Objavlјeno"
_@M224_ "Nesmetana sletišta "
_@M225_ "Tačke koje ne smetaju "
_@M226_ "Podraz. uvećanje mape "
_@M227_ "Podrazum.Vredno."
_@M228_ "Briši"
_@M229_ "Briši tačku 'WP'?"
_@M230_ "Briši"
_@M231_ "Detalјi"
_@M232_ "Uređaj A"
_@M233_ "Uređaj B"
_@M234_ "Model uređaja "
_@M235_ "Okvir razgovora "
_@M236_ "Upraviti IDI NA"
_@M237_ "Smer "
_@M238_ "Smer"
_@M239_ "Nedostupno"
_@M240_ "Isklјučeno"
_@M241_ "Ekran"
_@M242_ "Udalј. dokle ići"
_@M243_ "Udalјenost "
_@M244_ "Rastojanje "
_@M245_ "Rastojanje"
_@M246_ "Vreme izbacivanja "
_@M247_ "ETE"
_@M248_ "IZLAZ"
_@M249_ "Uredi slova"
_@M250_ "Uredi startnu tačku"
_@M251_ "Uredi tekst"
_@M252_ "Uredi"
_@M253_ "Efikasnost "
_@M254_ "Zahtevana efikasnost"
_@M255_ "Visina"
_@M256_ "Smaragdno zelena"
_@M257_ "Prazna boja mape "
_@M258_ "Uklјuči"
_@M259_ "Uklјučeno"
_@M260_ "Inžinjerski meni*"
_@M261_ "Unesite broj"
_@M262_ "Odgovarajući MC"
_@M263_ "Greška u snimanju zadatka!"
_@M264_ "Greška u fajlu zadatka!"
_@M265_ "Greška ZADATAJ NIJE OBJAVLjEN !!!"
_@M266_ "Greška"
_@M267_ "Procenjeno vreme zadatka"
_@M268_ "Događaji "
_@M269_ "Izbaciti"
_@M270_ "Očekivano ranije stizanje zadatka"
_@M271_ "Ekspert"
_@M272_ "Produžetak Vidlјivog cilјne ravni "
_@M273_ "Produženo"
_@M274_ "FAI Sektor"
_@M275_ "FAI visina kraja "
_@M276_ "FAI visina kraja"
_@M277_ "POVUĆI I KORISTI GPS NA PORTU"
_@M278_ "NETAČNO"
_@M279_ "FLARM DETEKTOVAN"
_@M280_ "FLARM na mapi "
_@M281_ "LETI"
_@M282_ "Polјe"
_@M283_ "Pregledaj fajl"
_@M284_ "Tip fajla"
_@M285_ "Fajl"
_@M286_ "Filter"
_@M287_ "Filter..."
_@M288_ "Automatska cilјna finesa"
_@M289_ "Cilјna finesa UKLjUČENA na silu"
_@M290_ "Cilјna finesa"
_@M291_ "Minim. krajna visina"
_@M292_ "Minim. krajna visina "
_@M293_ "Minim. krajna visina"
_@M294_ "Krajni radial"
_@M295_ "Krajni polupr. "
