# LK8000 UKRAINIAN MESSAGES - UKR_MSG.TXT
# MASTER UPDATED:  150517
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

@M1_ "Різн"
_@M2_ "Дист"
_@M3_ "Швдк"
_@M4_ "Рег"
_@M5_ "Вар"
_@M6_ "< Наз"
_@M7_ "(пусто)"
_@M8_ "(фініш)"
_@M9_ "(недійсно)"
_@M10_ "1 Місцевість"
_@M11_ "10 Налаштування екрана"
_@M12_ "11 Зовнішній вид"
_@M13_ "12 Шрифти"
_@M14_ "13 Накладення поверх карти"
_@M15_ "14 Задача"
_@M16_ "Має бути ввімкнено як мінімум один крім ТРМ0. Включаю НАВ1"
_@M17_ "15 секунд"
_@M18_ "16 Інфоблок Перехід"
_@M19_ "17 Інфоблок Потік"
_@M20_ "18 Інфоблок Доліт"
_@M21_ "19 Інфоблок Резерв"
_@M22_ "2 Повітряний простір"
_@M23_ "2 хвилини"
_@M24_ "20 Запис треку"
_@M25_ "21 Редактор точок"
_@M26_ "22 Система"
_@M27_ "23 Параплан/Дельтаплан"
_@M28_ "3 Відображення карти"
_@M29_ "3 хвилини"
_@M30_ "30 секунд"
_@M31_ "3D позиція"
_@M32_ "4 Відображення ландшафту"
_@M33_ "5 Політний компютер"
_@M34_ "6 Безпека"
_@M35_ "60 секунд"
_@M36_ "7 Літальний апарат"
_@M37_ "8 Пристрої"
_@M38_ "9 Одиниці виміру"
_@M39_ "90 секунд"
_@M40_ "ЗАДАЧА ВИКОНУЄТЬСЯ!"
_@M41_ "AAT хв час"
_@M42_ "AAT to go"
_@M43_ "AAT"
_@M44_ "ACK День"
_@M45_ "ACK Простр."
_@M46_ "ACK Попередж."
_@M47_ "Перервати"
_@M48_ "Прийняти"
_@M49_ "Досягнутий MC "
_@M50_ "Досягнута швидкість "
_@M51_ "Підтвердження на день?"
_@M52_ "Час підтвержд.*"
_@M53_ "Активна карта "
_@M54_ "Добавити точку"
_@M55_ "Розширений"
_@M56_ "Номер ЛА:"
_@M57_ "Реєстраційний номер"
_@M58_ "Статус ЛА"
_@M59_ "Тип ЛА"
_@M60_ "Тип ЛА:"
_@M61_ "Швидкість польоту "
_@M62_ "Аеродром"
_@M63_ "Файл ПП 1 "
_@M64_ "Файл ПП 2 "
_@M65_ "Детально ПП"
_@M66_ "Попередження ПП"
_@M67_ "Фильтр зон ПП "
_@M68_ "Зони Повітряного Простору"
_@M69_ "ЗОНИ ПП: ВСІ НИЖЧЕ"
_@M70_ "ЗОНИ ПП: ВСІ ВИМКНЕНІ"
_@M71_ "ЗОНИ ПП: ВСЕ ВВІМКНЕНІ"
_@M72_ "ЗОНИ ПП: АВТО"
_@M73_ "ЗОНИ ПП: В ДІАПАЗОНІ"
_@M74_ "ЗОНИ ПП: ВСЕРЕДИНІ"
_@M75_ "Всі вимк"
_@M76_ "Всі ввімк"
_@M77_ "Всі нижче"
_@M78_ "Всі чорним"
_@M79_ "Всі ввімкнені"
_@M80_ "Всі точки"
_@M81_ "Всі білим"
_@M82_ "Летіти додому"
_@M83_ "Висота при MС 0"
_@M84_ "Висота при існ MС"
_@M85_ "Висота при безп MС"
_@M86_ "Альт старт точки"
_@M87_ "Налаштувати"
_@M88_ "Висота "
_@M89_ "Висота "
_@M90_ "Завжди приймати MC=0"
_@M91_ "Завжди приймати безпечний MC"
_@M92_ "Янтарний"
_@M93_ "Аналіз"
_@M94_ "Анімація"
_@M95_ "Добавити в задачу"
_@M96_ "Підтверд. старт"
_@M97_ "Підтвердити"
_@M98_ "Висота прильоту"
_@M99_ "Стрілка"
_@M100_ "Спитати"
_@M101_ "Час задачі "
_@M102_ "АВТОВИБІР: ПІДТВЕРД."
_@M103_ "АВТОВИБІР: АВТОМАТИЧНО"
_@M104_ "АВТОВИБІР: НЕПІДТВЕРДЖ."
_@M105_ "АВТОВИБІР: ВРУЧНУ"
_@M106_ "Підсвітка "
_@M107_ "Автодоліт "
_@M108_ "Примус. автодоліт "
_@M109_ "Режим авто MC "
_@M110_ "Авто макс. звук "
_@M111_ "Автовибір "
_@M112_ "Автовибір "
_@M113_ "Автозапис треку "
_@M114_ "Розрах вітру "
_@M115_ "Автомасштаб "
_@M116_ "Ср. підйом"
_@M117_ "Середня швд підйому"
_@M118_ "Середній підйом"
_@M119_ "РЕЗЕРВНЕ ДЖЕРЕЛО ЖИВЛЕННЯ ВВІМКНЕНО"
_@M120_ "БАРОМЕТРИЧНА ВИСОТА ДОСТУПНА"
_@M121_ "БАРОМЕТРИЧНА ВИСОТА НЕДОСТУПНА"
_@M122_ "БАРОМЕТРИЧНА ВИСОТА НЕДОСТУПНА. ВИКОРИСТОВУЙТЕ GPS ВИСОТУ"
_@M123_ "БАТАРЕЯ ЗАРЯДЖЕНА НА 100%"
_@M124_ "БАТАРЕЯ ЗАРЯДЖАЕТСЯ"
_@M125_ "Баласт "
_@M126_ "Скидання баласту "
_@M127_ "Барограма"
_@M128_ "Основні"
_@M129_ "Основні налаштування"
_@M130_ "Меню основних налаштувань"
_@M131_ "Основні"
_@M132_ "Батарея 1"
_@M133_ "Батарея 2"
_@M134_ "Зовн батареї"
_@M135_ "Швидкість "
_@M136_ "Напрямок"
_@M137_ "Напрямок "
_@M138_ "Напрямок"
_@M139_ "Все нижче"
_@M140_ "Кр якість"
_@M141_ "Попередж. альт. посад. "
_@M142_ "Міста "
_@M143_ "Великі дороги "
_@M144_ "Чорний"
_@M145_ "Пусто!"
_@M146_ "Блокувати Швидкість польоту"
_@M147_ "Блакитний"
_@M148_ "Обидва (ФД+СП)"
_@M149_ "Спіраль + Зигзаг"
_@M150_ "Поле даних "
_@M151_ "Комірка"
_@M152_ "З контуром, без значень"
_@M153_ "З контуром, з значеннями"
_@M154_ "Курс"
_@M155_ "Перевірка безп висоти прибуття\n"
_@M156_ "ЗАКРИТИ"
_@M157_ "ЗАКРИТО"
_@M158_ "Підтвердити ЛЕТІТИ ДО? Задача перерветься."
_@M159_ "Підтвердити ЛЕТІТИ ДО? Задача перерветься."
_@M160_ "Розрахунок"
_@M161_ "Відміна"
_@M162_ "Неможливо переписати!"
_@M163_ "Автомобіль"
_@M164_ "Режим роботи "
_@M165_ "Змін. бази"
_@M166_ "Центр "
_@M167_ "Центр"
_@M168_ "Зміни в конфігурації збережено"
_@M169_ "Вибраної точки нема в задачі"
_@M170_ "Масштаб спіралі "
_@M171_ "Радіус циліндру "
_@M172_ "АВТОМАСШТАБ В СПІРАЛІ ВИМКН"
_@M173_ "АВТОМАСШТАБ В СПІРАЛІ ВВІМКН"
_@M174_ "Масштаб в спіралі "
_@M175_ "Спіраль"
_@M176_ "Класичні"
_@M177_ "Очистити Альт"
_@M178_ "Очистка задачі"
_@M179_ "Очистити задачу?"
_@M180_ "Очист"
_@M181_ "Змін. подйому"
_@M182_ "Підйом"
_@M183_ "Висота діапазону "
_@M184_ "В діап"
_@M185_ "Закрити "
_@M186_ "Закр"
_@M187_ "База"
_@M188_ "Код"
_@M189_ "Колір"
_@M190_ "Коментарі"
_@M191_ "Коммент.: "
_@M192_ "Сторінки 3.*"
_@M193_ "Звязок з реєстр."
_@M194_ "Точки CompeGPS"
_@M195_ "Конфігурація"
_@M196_ "Віртуальні кнопки"
_@M197_ "Налаштування топології"
_@M198_ "Точно вийти?"
_@M199_ "З*єднання"
_@M200_ "Копіюв"
_@M201_ "Не вдалось відкрити IGC файл!"
_@M202_ "Масштаб переходу "
_@M203_ "Якість "
_@M204_ "Поточне положення оновлено"
_@M205_ "Налаштув віртуальних кнопок"
_@M206_ "Файл поляри "
_@M207_ "Конфігурація віртуальних кнопок збережена"
_@M208_ "Налаштування шрифтів"
_@M209_ "Блакитний"
_@M210_ "Циліндр"
_@M211_ "DAT точки"
_@M212_ "СКИД БАЛАСТУ"
_@M213_ "Небезпечна Зона"
_@M214_ "Небезпечні зони"
_@M215_ "Темно-сірий"
_@M216_ "Молочний"
_@M217_ "Темносірий"
_@M218_ "Темносиній"
_@M219_ "Дата"
_@M220_ "Час реакції "
_@M221_ "Заявити задачу?"
_@M222_ "Заявити"
_@M223_ "Заявлено"
_@M224_ "Фільтр посадок "
_@M225_ "Фільтр точок "
_@M226_ "Масштаб по замовчуванню"
_@M227_ "Замовчув."
_@M228_ "Видал"
_@M229_ "Видалити точку?"
_@M230_ "Видалити"
_@M231_ "Детально"
_@M232_ " Прилад A"
_@M233_ " Прилад B"
_@M234_ "Модель прилада "
_@M235_ "Діалогові вікна"
_@M236_ "Летіти до точки"
_@M237_ "Напрямок "
_@M238_ "Напрямок"
_@M239_ "Вимкнути"
_@M240_ "Нема звязку"
_@M241_ "Екран"
_@M242_ "До фінішу"
_@M243_ "Відстань"
_@M244_ "Відстань "
_@M245_ "Дистанція"
_@M246_ "Час скид "
_@M247_ "Час "
_@M248_ "ВИХІД"
_@M249_ "Змінити шрифт"
_@M250_ "Змінити старт. точку"
_@M251_ "Ввід тексту"
_@M252_ "Змінити"
_@M253_ "Якість "
_@M254_ "Необх.Якість"
_@M255_ "Висота"
_@M256_ "Смарагдовий"
_@M257_ "Одноколірна карта"
_@M258_ "Ввімкнути"
_@M259_ "Ввімкнено"
_@M260_ "Інженерне меню*"
_@M261_ "Ввести номер"
_@M262_ "Еквівалент MС"
